district_name_en,district_name_ar,city_name_en,city_name_ar,province_name_en,province_name_ar
Al Mahdiyah Dist.,حي المهدية,Riyadh,الرياض,Riyadh,منطقة الرياض
King Saud University,جامعة الملك سعود,Riyadh,الرياض,Riyadh,منطقة الرياض
West Naseem Dist.,حي النسيم الغربي,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Mishael Dist.,حي المشاعل,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Nadwah Dist.,حي الندوة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Rabiyah Dist.,حي الرابية,Riyadh,الرياض,Riyadh,منطقة الرياض
Wady Laban Dist.,حي وادي لبن,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Sidrah Dist.,حي السدرة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Tadamun Dist.,حي التضامن,Riyadh,الرياض,Riyadh,منطقة الرياض
King Abdullah City For Energy,مدينة الملك عبدالله للطاقة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Basatin Dist.,حي البساتين,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Rehab Dist.,حي الرحاب,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Majd Dist.,حي المجد,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Danah Dist.,حي الدانة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Risalah Dist.,حي الرسالة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Khair Dist.,حي الخير,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Fursan Dist.,حي الفرسان,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Sholah Dist.,حي الشعلة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Rayah Dist.,حي الراية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Zahour Dist.,حي الزهور,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Zaher Dist.,حي الزاهر,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Marjan Dist.,حي المرجان,Riyadh,الرياض,Riyadh,منطقة الرياض
